専攻,ホワイトハッカー専攻,氏名,北野善聖
章,学習キーワード,チェック,説明
1.1,コンピュータ・ネットワーク,,
1.1,ARPANET,,
1.1,メーカー独自技術,,
1.1,技術の標準化,,
1.2,インターネット,?,誰でも使うことができるネットワークのこと
1.2,イントラネット,?,関係者の人しか使えないネットワークのこと
1.2,LAN,?,内部ネットのこと
1.2,WAN,?,外部ネットのこと
1.3,サーバ,?,サービスを提供する側
1.3,クライアント,?,サービスを受ける側
1.3,データセンター,,大量のデータを保存してある場所
1.3,クライアント/サーバ通信,,
2.1,ネットワーク技術,,
2.1,アプリケーション,,
2.1,ネットワーク制御機能,,
2.1,ネットワーク伝送路,,
2.2,OSI参照モデル,?,
2.2,アプリケーション層,,
2.2,プレゼンテーション層,,
2.2,セッション層,?,ログイン、ログアウト
2.2,トランスポート層,?,通信の多重化を可能にする
2.2,ネットワーク層,?,MACアドレスをIPアドレスに変換する
2.2,データリンク層,?,
2.2,物理層（OSI）,,
2.2,送受信の通信の流れ,,
2.2,L1、L2 などの「L」の意味,,
2.3,ネットワークアーキテクチャ,,
2.3,プロトコル,?,通信規約
2.3,メーカー独自規格,,
2.3,業界標準規格,,
2.3,国際標準規格,,
2.3,OSI,,
2.3,ISO,,
2.3,TCP/IP,,
2.3,ISOC（IETF）,,
2.3,ネットワークインターフェース層,,
3.1,アプリケーション層,,
3.1,HTTP,?,Webページのプロトコル
3.1,SMTP,?,メールを送信するプロトコル
3.1,POP3,?,メールを受信するプロトコル
3.1,Telnet,,
3.1,Webサイト参照,,
3.1,電子メール,?,ネット上でやり取りするメール
3.1,ブラウザ,?,
3.1,メーラー,,
3.1,FQDN,?,完全修飾ドメイン
3.1,ホスト名,?,
3.1,ドメイン(ドメイン名),?,
3.2,ICANN,,
3.2,ツリー構造,,
3.2,ルートドメイン,,
3.3,トップレベルドメイン(TLD),,
3.3,セカンドレベルドメイン(SLD),,
3.3,URL,?,
3.3,ディレクトリ・ファイル名,,
3.4,WWWの仕組み,,
3.4,HTML,?,Webページの構造を作るための言語
3.4,HTTPS,?,httpよりセキュリティ性が高まったプロトコル
3.4,電子メールアドレス,,電子メールを送るためのアドレス
3.4,ユーザー名,,
3.5,ターミナルソフト（Tera Term）,,
4.1,トランスポート層,?,通信の多重化を可能にする
4.2,通信の多重化,,
4.2,通信の信頼性,,
4.3,ポート番号,?,通信するための窓口
4.3,サーバ用ポート番号（ウェルノウンポート）,?,0~1023
4.3,クライアント用ポート番号,,
4.3,送信元ポート番号,,
4.3,宛先ポート番号,,
4.4,TCP,?,相互に通信しあう
4.4,コネクション管理,,
4.4,3way-handshake,,
4.4,"SYN,ACK,FIN",,
4.4,応答確認,,
4.4,順序番号管理,,
4.4,データの再送,,
4.5,UDP,?,一方的な通信
5.1,インターネット層,,
5.2,IPの役割,,
5.2,集約の効率化（アドレッシング）,,
5.2,経路の決定（ルーティング）,,
5.2,IPアドレス,?,それぞれの端末につけられた番号
5.2,送信元IPアドレス,,
5.2,宛先IPアドレス,,
5.2,識別子,,
5.3,パケット,,
5.3,ビット列／ドット表記,,
5.4,ドメイン,,
5.4,ドメイン構造,,
5.4,階層構造の表記方法,,
5.4,グローバルアドレス,,外部にでているアドレス
5.4,プライベートアドレス,,内側だけのアドレス
5.4,IANA,,
5.4,RIR、NIR,,
5.4,APNIC、JPNIC,,
5.4,ドメインの管理とアドレスの構造,,
5.4,ネットワークアドレスの集約,,
5.4,ルーティングの構成（ルータによる制御）,,
5.4,ルーティング制御（動的／静的）,,
5.5,サブネット分割,,
5.5,VLSM（可変長サブネットマスク）,,
5.5,集約型のIPアドレス指定,,
5.6,DHCP,,
5.6,DHCPサーバ,,
5.6,アドレスプール,,
5.6,アドレスリース,,
5.7,ディスティネーションルート,,
5.7,Next Hop,,
5.7,スタティックルーティング,,
5.7,ダイナミックルーティング,,
5.8,ネットワーク制御情報,,
5.8,ルーティング制御テーブル,,
5.9,ルーティング制御プロトコル,,
5.9,RIP、OSPF,,
5.1,マルチキャスト（同時に複数の相手へ送信）,,
5.1,IPv6,,
5.1,IPv4との違い,,
5.11,ネットワーク変換（仕組み、メリット）,,
5.11,NAT,,
5.11,NAPT,,
5.11,Hostsファイル,,
5.11,ローカルDNSサーバ,,
5.11,階層的DNSサーバ,,
6.1,ネットワークインターフェース層,,
6.2,イーサネット,,
6.2,フレーム形式,,
6.2,MACアドレス,,
6.2,ネットワークアダプタ(NIC),,
6.2,ベンダーID,,
6.2,ベンダーIDと型式,,
6.2,CSMA/CD方式,,
6.2,データの送受,,
6.2,Ethernet,,
6.2,Fast Ethernet,,
6.2,Gigabit Ethernet,,
6.2,10 Gigabit Ethernet,,
6.3,伝送速度,,
6.3,bps,,
6.3,単位(帯域),,
6.3,1Kbps/1Mbps/1Gbps,,
6.4,伝送媒体,,
6.4,同軸ケーブル,,
6.4,ツイストペアケーブル,,
6.4,光ファイバーケーブル,,
6.5,ARP（アドレス解決）,,
6.5,ブロードキャスト、ユニキャスト、ブロードキャストパケット,,
7.1,伝送路,,
7.2,ツイストペアケーブル,,
7.2,クロスケーブル,,
7.2,ストレートケーブル,,
7.2,MDI/MDIX,,
7.2,カスケード接続,,
7.2,カスケード用ポート,,
7.2,光ファイバーケーブル,,
7.2,カテゴリ,,
7.2,周波数帯域,,
7.2,通信速度,,
7.2,最大ケーブル長,,
7.2,アクセス方式,,
7.3,無線LAN,,
7.3,アクセスポイント,,
7.4,セキュリティ規格,,
7.4,リピータ機能,,
7.4,スイッチングHUB（L2スイッチ）,,
7.4,スイッチ機能,,
7.4,MACアドレステーブル,,
7.4,ブロードキャスト,?,
7.4,コリジョン,,
7.4,コンフィグスイ,,
7.4,VLAN,,
7.5,ネットワーク接続基準/付加機能,,
7.6,オートネゴシエーション,,
7.6,Auto MDI/MDIX,,
8.1,アクセス区間,,
8.1,バックボーン区間,,
8.2,キャリア設備（電話/回線網）,,
8.2,インターネット,,
8.3,ベストエフォート型,,
8.3,通信における品質とは,,
8.3,WANサービス（セキュリティ、コスト、通信品質、用途）,,
8.4,広域イーサネット,,
8.4,IP-VPN,,
8.4,VPN,,
8.5,エントリーVPN,,
8.5,インターネットVPN,,
8.5,IPsec,,
